Date,Close,Volume
2019-09-27,3.916,267734088
2019-09-30,3.869,263288381
2019-10-08,3.894,323423873
2019-10-09,3.905,250789659
2019-10-10,3.933,236335248
2019-10-11,3.981,306020073
2019-10-14,4.01,395654617
2019-10-15,3.997,295000513
2019-10-16,3.983,314366343
2019-10-17,3.989,193642784
2019-10-18,3.931,308143071
2019-10-21,3.94,184939266
2019-10-22,3.955,164134229
2019-10-23,3.934,147826200
2019-10-24,3.939,202167106
2019-10-25,3.963,250290767
2019-10-28,3.986,267434287
2019-10-29,3.973,209553585
2019-10-30,3.947,262846100
2019-10-31,3.945,192782765
2019-11-01,4.026,320651363
2019-11-04,4.039,235968262
2019-11-05,4.062,352935688
2019-11-06,4.045,205938945
2019-11-07,4.05,237722500
2019-11-08,4.034,297216299
2019-11-11,3.967,347068934
2019-11-12,3.962,330054660
2019-11-13,3.959,202016501
2019-11-14,3.962,238587713
2019-11-15,3.943,187791494
2019-11-18,3.971,240875274
2019-11-19,4.011,237888988
2019-11-20,3.97,216610292
2019-11-21,3.95,244840685
2019-11-22,3.908,354707168
2019-11-25,3.936,252457634
2019-11-26,3.942,285821518
2019-11-27,3.936,211239168
2019-11-28,3.93,169480950
2019-11-29,3.887,302917100
2019-12-02,3.895,174355701
2019-12-03,3.911,198551900
2019-12-04,3.913,158939610
2019-12-05,3.942,219206401
2019-12-06,3.967,213071653
2019-12-09,3.953,232220816
2019-12-10,3.956,186995451
2019-12-11,3.901,170498912
2019-12-12,3.887,137151900
2019-12-13,3.968,436082930
2019-12-16,3.98,302848303
2019-12-17,4.042,525630459
2019-12-18,4.026,363117684
2019-12-19,4.021,264192000
2019-12-20,4.016,328779836
2019-12-23,3.964,447144760
2019-12-24,3.985,312792100
2019-12-25,3.992,310578426
2019-12-26,4.021,332255940
2019-12-27,4.017,436813014
2019-12-30,4.075,542381449
2019-12-31,4.096,352185905
2020-01-02,4.149,627623614
2020-01-03,4.14,469673776
2020-01-06,4.123,666504783
2020-01-07,4.155,464959514
2020-01-08,4.114,562852067
2020-01-09,4.158,394431722
2020-01-10,4.157,379555000
2020-01-13,4.202,373639185
2020-01-14,4.184,409962842
2020-01-15,4.152,319607409
2020-01-16,4.146,416297801
2020-01-17,4.151,321627384
2020-01-20,4.181,353488249
2020-01-21,4.105,618294600
2020-01-22,4.119,907393261
2020-01-23,3.996,753583400
2020-02-03,3.659,1471075772
2020-02-04,3.77,735843705
2020-02-05,3.807,553287488
2020-02-06,3.897,527965212
2020-02-07,3.888,346989051
2020-02-10,3.901,398519147
2020-02-11,3.943,422258801
2020-02-12,3.971,290783451
2020-02-13,3.95,325961046
2020-02-14,3.977,313979347
2020-02-17,4.064,581140084
2020-02-18,4.039,709950982
2020-02-19,4.04,440377238
2020-02-20,4.131,605241099
2020-02-21,4.145,444470153
2020-02-24,4.112,372727289
2020-02-25,4.104,603830762
2020-02-26,4.07,641793391
2020-02-27,4.071,475330532
2020-02-28,3.933,560071042
2020-03-02,4.076,426683708
2020-03-03,4.073,408776061
2020-03-04,4.102,295453297
2020-03-05,4.2,547831292
2020-03-06,4.121,249987730
2020-03-09,3.99,423642354
2020-03-10,4.078,859648156
2020-03-11,4.011,703269381
2020-03-12,3.948,388119218
2020-03-13,3.889,717892899
2020-03-16,3.726,571080084
2020-03-17,3.693,985255849
2020-03-18,3.631,783304767
2020-03-19,3.596,1248163833
2020-03-20,3.644,678689518
2020-03-23,3.526,807278071
2020-03-24,3.611,832898539
2020-03-25,3.706,1010026400
2020-03-26,3.683,355654180
2020-03-27,3.7,491544293
2020-03-30,3.666,497134429
2020-03-31,3.669,374003032
2020-04-01,3.673,355438884
2020-04-02,3.723,463048932
2020-04-03,3.697,324717000
2020-04-07,3.78,546740521
2020-04-08,3.765,221917490
2020-04-09,3.776,328543624
2020-04-10,3.764,464247186
2020-04-13,3.743,246696932
2020-04-14,3.805,376124777
2020-04-15,3.783,239200804
2020-04-16,3.785,227317249
2020-04-17,3.819,570480887
2020-04-20,3.835,382296046
2020-04-21,3.795,292757173
2020-04-22,3.829,345671032
2020-04-23,3.822,201520738
2020-04-24,3.79,305829499
2020-04-27,3.807,309460942
2020-04-28,3.831,422865548
