draw,ks_stat,pvalue
1,1.9884058448922457,0.0
2,1.901769490093276,0.0
3,1.7131629942555142,0.0
4,1.8663912918263985,0.001001001001001001
5,1.93879483631713,0.0
6,1.8657566620949784,0.0
7,2.0239727349199126,0.0
8,1.9645681902504561,0.0
9,2.040552947546719,0.0
10,1.940729866474749,0.0
11,2.011382004253155,0.0
12,1.9957412512911377,0.0
13,1.9229702801382467,0.0
14,1.9658251939231388,0.001001001001001001
15,1.637829821466441,0.0
16,1.8126889664340182,0.0
17,1.9370285100644051,0.0
18,1.9130793282311547,0.0
19,1.8102832716640074,0.0
20,2.343225351212356,0.0
21,1.9734964681251557,0.0
22,2.0457657704943535,0.0
23,1.9980188841874549,0.0
24,1.9748602206785804,0.0
25,1.7462782551149674,0.001001001001001001
26,2.0987925511350762,0.0
27,1.8781981645695287,0.0
28,1.9338167415888814,0.0
29,2.128351373296473,0.0
30,2.1012870127022527,0.0
