index_key,index_label,period,start,end,direction,n_obs,lag,ks_stat,pvalue,reject,stars,cv_5,n_eff,elapsed
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,1,0.8971666128616094,0.07807807807807808,False,*,0.9662604284639157,753,13.417289500001061
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,2,0.9570723738003726,0.22922922922922923,False,,1.203953316740388,752,14.247491799997078
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,3,1.1028333872230587,0.24924924924924924,False,,1.3665716544230062,751,14.731474700001854
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,4,1.1558344274756611,0.2062062062062062,False,,1.387826835858775,750,15.621658700001717
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,5,0.9098415843904494,0.7707707707707707,False,,1.4788649852264468,749,15.593417500000214
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,6,0.9268750602238364,0.6976976976976977,False,,1.431115662318966,748,16.682595800000854
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,7,1.116884688888119,0.2092092092092092,False,,1.3267576376360892,747,18.90779499999917
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,8,1.1491568760869317,0.13113113113113112,False,,1.2693593168971478,746,19.025140000001556
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,9,1.2426321376920493,0.05005005005005005,False,*,1.240649546304624,745,21.82924389999971
spx500,SPX 500,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,754,10,0.9387431952420127,0.22722722722722724,False,,1.107421857007992,744,22.745236299997487
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,1,0.873214603047876,0.2132132132132132,False,,1.1406958674722665,752,6.367482999998174
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,2,0.965120446071534,0.4074074074074074,False,,1.3944633080074607,751,7.395098799999687
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,3,1.1986699432540906,0.3713713713713714,False,,1.5760435997032203,750,7.553660900000978
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,4,0.955442024595421,0.7367367367367368,False,,1.5302629718133374,749,7.271518300000025
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,5,0.8568082156163283,0.93993993993994,False,,1.5338059927002683,748,7.762612700000318
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,6,1.155809083847269,0.4294294294294294,False,,1.568678604140224,747,8.591893199998594
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,7,0.8399738586130968,0.9029029029029029,False,,1.4582779488785753,746,9.645710799999506
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,8,0.8465313937950535,0.7747747747747747,False,,1.3160907946532021,745,11.81419090000054
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,9,0.6795345672075483,0.9819819819819819,False,,1.3364835662623182,744,17.001174599998194
spx500,SPX 500,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,753,10,0.9912021015006399,0.3183183183183183,False,,1.2264597986372674,743,12.341128399999434
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,1,0.464077885722347,0.5835835835835835,False,,1.0788877232597776,753,6.22629009999946
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,2,0.754218370691555,0.7957957957957958,False,,1.4767942039574002,752,7.38867190000019
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,3,0.8887275967143891,0.7627627627627628,False,,1.4911698458567906,751,7.495763000002626
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,4,0.8965715251600769,0.8088088088088088,False,,1.477772474351821,750,8.84435129999838
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,5,1.0632503215088038,0.5655655655655656,False,,1.5281582132670344,749,8.705546099998173
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,6,0.9845580744246145,0.7727727727727728,False,,1.5430683654295314,748,9.384319600001618
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,7,0.851718575438998,0.8898898898898899,False,,1.4581691147678053,747,10.380993200000376
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,8,0.7326970006895763,0.984984984984985,False,,1.4957874715532935,746,11.693532099998265
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,9,0.788697391757668,0.8378378378378378,False,,1.2698046128651734,745,12.486139500000718
spx500,SPX 500,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,754,10,1.1348402501892905,0.1091091091091091,False,,1.244477714582446,744,13.730531500001234
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,1,2.056999345118956,0.0,True,***,1.1887416479362412,725,5.47457729999951
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,2,2.317722890795325,0.0,True,***,1.4133621160831018,724,6.427621799997723
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,3,1.4350213130742275,0.11311311311311312,False,,1.5556755829748772,723,6.965169099999912
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,4,2.2886782767569995,0.0,True,***,1.5422235006244858,722,7.966926699999021
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,5,1.216915753590421,0.3053053053053053,False,,1.537033183536122,721,8.758378499998798
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,6,1.1439590756868085,0.45345345345345345,False,,1.5535407235078504,720,9.43306500000108
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,7,1.4384177073999547,0.06306306306306306,False,*,1.4797100661902378,719,10.781476699998166
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,8,1.0800887446258383,0.33233233233233234,False,,1.343983322248063,718,11.685052700002416
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,9,0.7793028009439728,0.8138138138138138,False,,1.2331883631881084,717,13.589425099999062
csi300,CSI 300,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,726,10,0.6892866180205203,0.9019019019019019,False,,1.1896896234152958,716,14.11265369999819
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,1,1.6071307863612947,0.001001001001001001,True,***,1.1076902525084744,727,5.54903270000068
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,2,2.272833832641231,0.0,True,***,1.3990868691376508,726,6.5781174000003375
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,3,1.7618484887324528,0.011011011011011011,True,**,1.5757699390603752,725,6.9516593999978795
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,4,1.5310122800051298,0.08808808808808809,False,*,1.637037435595521,724,7.787899400002061
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,5,1.3621528716790803,0.22522522522522523,False,,1.5895405162351928,723,8.738071499999933
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,6,1.2208645848284476,0.4944944944944945,False,,1.708763815287855,722,9.446490199999971
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,7,1.0720080038681288,0.5995995995995996,False,,1.5281744696476023,721,11.430026400001225
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,8,1.2316198250504267,0.2012012012012012,False,,1.4362969926423061,720,11.540597199997137
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,9,0.7683715610506637,0.9579579579579579,False,,1.400345935417104,719,13.341591099997459
csi300,CSI 300,2020-2023,2020-09-27,2023-09-26,P_t -> V_t,728,10,0.8615576702255403,0.4974974974974975,False,,1.204935317243077,718,15.187071299998934
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,1,1.799174885657676,0.0,True,***,1.1098481266576588,726,4.325101900001755
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,2,2.0473212584765506,0.001001001001001001,True,***,1.3399210490054903,725,6.6266711999996915
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,3,1.9834508150717725,0.0,True,***,1.4973856479812397,724,6.805920899998455
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,4,1.507657385956749,0.11411411411411411,False,,1.653330345154763,723,7.7298030000019935
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,5,1.6117256474418866,0.07907907907907907,False,*,1.7176350509065992,722,8.553011500000139
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,6,1.983857631623503,0.004004004004004004,True,***,1.5878696931389535,721,9.6113669999977
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,7,0.8762514797809285,0.91991991991992,False,,1.5153156264068741,720,10.358213200001046
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,8,1.2599922002041695,0.1781781781781782,False,,1.4426681935509316,719,11.470190500000172
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,9,1.0344393455589098,0.33633633633633636,False,,1.2971510882214858,718,12.691615299998375
csi300,CSI 300,2021-2024,2021-09-27,2024-09-26,P_t -> V_t,727,10,0.84403300833947,0.44244244244244246,False,,1.12897781330153,717,15.40650480000113
nikkei225,NI 225,2019-2022,2019-09-27,2022-09-26,P_t -> V_t,727,1,1.2305791035034968,0.02902902902902903,True,**,1.1307277174397998,726,5.615117099998315
