dgp,n,lag,rep,causal,method,stat,pvalue,reject,elapsed
S1,1000,1,9,False,drgc,0.92188566015615,0.1603206412825651,False,12.960585600005288
S1,1000,1,9,False,drgc_naive,0.7443088904435929,0.8076152304609219,False,1.14673159999802
S1,1000,1,4,False,drgc,0.71902115728208,0.4669338677354709,False,13.260847300000025
S1,1000,1,4,False,drgc_naive,0.6761973119388021,0.8837675350701403,False,1.399723800001084
S1,1000,1,1,False,drgc,0.7357222754201934,0.3887775551102204,False,13.253884700003256
S1,1000,1,1,False,drgc_naive,0.6688723602975937,0.8416833667334669,False,1.3946249000000537
S1,1000,1,0,False,drgc,0.8347742912174365,0.2985971943887776,False,13.212543999994525
S1,1000,1,0,False,drgc_naive,0.8581102989952235,0.6613226452905812,False,1.3763000999970243
S1,1000,1,5,False,drgc,0.9040138380797952,0.1382765531062124,False,13.093774400003896
S1,1000,1,5,False,drgc_naive,0.9782035810533588,0.5170340681362725,False,1.3974478999953135
S1,1000,1,7,False,drgc,0.9455742954093664,0.1683366733466934,False,13.18277069999749
S1,1000,1,7,False,drgc_naive,0.8651023030133069,0.6753507014028056,False,1.3824736999958986
S1,1000,1,3,False,drgc,0.5560219257436049,0.6352705410821643,False,13.284221800000523
S1,1000,1,3,False,drgc_naive,0.6182531383953127,0.87374749498998,False,1.3358066999935545
S1,1000,1,10,False,drgc,0.5225758311643213,0.7194388777555111,False,13.244412300002296
S1,1000,1,10,False,drgc_naive,0.3603306459620311,0.9939879759519038,False,1.3675934999992023
S1,1000,1,6,False,drgc,0.4996249926469642,0.7294589178356713,False,13.281456600001547
S1,1000,1,6,False,drgc_naive,0.4135133928693698,0.9879759519038076,False,1.377909399998316
S1,1000,1,8,False,drgc,0.4604372385891083,0.7394789579158316,False,13.238772099997732
S1,1000,1,8,False,drgc_naive,0.6674389907728577,0.811623246492986,False,1.404581299997517
S1,1000,1,2,False,drgc,0.5927535831405603,0.5390781563126252,False,13.380815700002133
S1,1000,1,2,False,drgc_naive,0.6564173450166236,0.8256513026052105,False,1.3729434000051697
S1,1000,1,18,False,drgc,0.391972731526439,0.875751503006012,False,5.622466399996483
S1,1000,1,18,False,drgc_naive,0.3196957424384595,0.997995991983968,False,0.8083639999968
S1,1000,1,11,False,drgc,0.725337509942406,0.3987975951903807,False,6.393368700002611
S1,1000,1,11,False,drgc_naive,0.6846385295855912,0.8236472945891784,False,1.4839920999947935
S1,1000,1,14,False,drgc,0.8262911748750896,0.2845691382765531,False,6.454719399996975
S1,1000,1,14,False,drgc_naive,0.7686152625822915,0.749498997995992,False,1.3705126999993809
S1,1000,1,12,False,drgc,0.3860043154012946,0.8777555110220441,False,6.463437200000044
S1,1000,1,12,False,drgc_naive,0.3741266051332805,0.997995991983968,False,1.47425249999651
S1,1000,1,13,False,drgc,0.9525862248524312,0.1462925851703407,False,6.43132670000341
S1,1000,1,13,False,drgc_naive,0.8547210445156365,0.6653306613226453,False,1.5026146000018343
S1,1000,1,16,False,drgc,1.423291552018631,0.0080160320641282,True,6.414579800002684
