draw,ks_stat,pvalue
1,1.4799974155528897,0.008008008008008008
2,1.0572256263645678,0.22322322322322322
3,0.7352977877644851,0.92992992992993
4,0.9073505188641706,0.4914914914914915
5,0.7740708876871978,0.7837837837837838
6,0.8961585794720592,0.4394394394394394
7,1.053963172047666,0.2092092092092092
8,0.7202134062140255,0.8758758758758759
9,0.8935192594066813,0.48348348348348347
10,0.7474296037359728,0.8428428428428428
11,0.7462207714484461,0.8978978978978979
12,1.0602031319401126,0.2172172172172172
13,0.8471197861459699,0.7257257257257257
14,0.8996550610917171,0.5045045045045045
15,0.9922617908664063,0.2772772772772773
16,0.9454422518203475,0.46346346346346345
17,0.6674964729990581,0.963963963963964
18,1.1400749448365217,0.19119119119119118
19,0.7667503299961356,0.8828828828828829
20,0.8632642411225705,0.6826826826826827
21,0.9848227680364058,0.34034034034034033
22,1.2137059522938998,0.05805805805805806
23,0.8096774657572879,0.7157157157157157
24,0.938346471196089,0.5385385385385385
25,0.8068993219519962,0.7227227227227228
26,0.5382199483524516,0.997997997997998
27,0.678991556045558,0.944944944944945
28,1.0096596797685478,0.24724724724724725
29,0.6270351081239111,0.9819819819819819
30,1.3025939321754716,0.04004004004004004
