dgp,n,lag,rep,causal,method,stat,pvalue,reject,elapsed
S1,500,1,3,False,drgc,0.6402021828036063,0.5971943887775552,False,13.236877299998014
S1,500,1,3,False,drgc_naive,0.7197415630562077,0.8256513026052105,False,1.260776299997815
S1,500,1,3,False,nhkj,0.9520520787411401,0.17053528533356266,False,0.13178270000207704
S1,500,1,10,False,drgc,0.16055631623825775,0.9919839679358717,False,13.209098400002404
S1,500,1,10,False,drgc_naive,0.19342555435465988,1.0,False,1.2739852000013343
S1,500,1,10,False,nhkj,1.3090088494816894,0.09526567655353896,False,0.12065560000337427
S1,500,1,2,False,drgc,0.4583424182408912,0.8096192384769539,False,13.323384200004512
S1,500,1,2,False,drgc_naive,0.49785434535096806,0.9478957915831663,False,1.2702701999951387
S1,500,1,2,False,nhkj,0.0956020869405126,0.4619183038279563,False,0.12299060000077588
S1,500,1,0,False,drgc,0.785615911632051,0.2745490981963928,False,13.6203502999997
S1,500,1,0,False,drgc_naive,0.8898211829714615,0.6072144288577155,False,1.275925100002496
S1,500,1,0,False,nhkj,1.0602245036044664,0.14452123798785732,False,0.11949479999748291
S1,500,1,7,False,drgc,0.5867889111295654,0.6012024048096193,False,13.231810700002825
S1,500,1,7,False,drgc_naive,0.611308600079129,0.8977955911823647,False,1.2850707999969018
S1,500,1,7,False,nhkj,-0.5570060044002261,0.7112383366107514,False,0.11705090000032214
S1,500,1,8,False,drgc,1.0363055398548522,0.05811623246492986,False,13.211544099998719
S1,500,1,8,False,drgc_naive,1.0268321400895537,0.40480961923847697,False,1.2802500999969197
S1,500,1,8,False,nhkj,0.5898521156443833,0.2776448997040042,False,0.1163728000028641
S1,500,1,6,False,drgc,0.6703220191430336,0.6032064128256514,False,13.231458399997791
S1,500,1,6,False,drgc_naive,0.8014389606920602,0.7755511022044088,False,1.2552322999981698
S1,500,1,6,False,nhkj,0.9455527833408593,0.17218836834408963,False,0.11468980000063311
S1,500,1,1,False,drgc,0.5931350546807539,0.6492985971943888,False,13.322356600001513
S1,500,1,1,False,drgc_naive,0.7157399643889438,0.7915831663326653,False,1.2561982000042917
S1,500,1,1,False,nhkj,0.3130748014144616,0.377111916504572,False,0.11550359999819193
S1,500,1,5,False,drgc,0.3894939968403794,0.7695390781563126,False,13.3700342000011
S1,500,1,5,False,drgc_naive,0.5650449681879164,0.9118236472945892,False,1.2621026999986498
S1,500,1,5,False,nhkj,0.6388301189577772,0.2614667261858208,False,0.11937380000017583
S1,500,1,9,False,drgc,0.3850718064456424,0.8957915831663327,False,13.49214089999441
S1,500,1,9,False,drgc_naive,0.7185324100789873,0.8096192384769539,False,1.2801364999977523
S1,500,1,9,False,nhkj,-0.10547895714459132,0.5420021166997443,False,0.10249900000053458
S1,500,1,4,False,drgc,1.1152202571665908,0.05811623246492986,False,13.481675499999255
S1,500,1,4,False,drgc_naive,1.2716748288203954,0.24048096192384769,False,1.2662756999998237
S1,500,1,4,False,nhkj,1.9130181967874207,0.027872861478075262,True,0.10154920000059064
S1,500,1,12,False,drgc,0.2505480180204591,0.9879759519038076,False,4.720524299998942
S1,500,1,12,False,drgc_naive,1.1955410644549207,0.3186372745490982,False,1.0514462999999523
S1,500,1,12,False,nhkj,0.18743714811211187,0.4256589493572496,False,0.11286980000295443
S1,500,1,15,False,drgc,1.0847821327110172,0.11623246492985972,False,4.7224394000004395
S1,500,1,15,False,drgc_naive,0.9378444570087512,0.6352705410821643,False,1.0545190000048024
S1,500,1,15,False,nhkj,1.291683563630663,0.09823337590471398,False,0.10916790000192123
S1,500,1,14,False,drgc,0.9607270009628002,0.1523046092184369,False,4.755220200000622
S1,500,1,14,False,drgc_naive,1.0425476036987011,0.47695390781563124,False,1.04614710000169
